Tons,Kms,Edad,Sesgo,Model,ID
15521.279999999995,12498.799999999985,2039.8833333333334,1,A,AWOU5IMX
1453.5900000000004,1227.2,199.01666666666668,1,A,AWOU5IMX
5879.870000000004,4776.700000000001,773.2333333333333,1,A,AWOU5IMX
7152.8200000000015,5505.7999999999965,904.4333333333333,1,A,AWOU5IMX
12900.850000000006,10346.500000000002,1684.2,1,A,AWOU5IMX
7168.659999999999,5457.899999999999,932.4833333333333,0,A,AWOU5IMX
4527.740000000001,3372.7999999999993,554.5,1,A,AWOU5IMX
1736.7,1262.3000000000002,211.65,1,A,AWOU5IMX
11639.69999999999,8583.5,1466.7833333333333,0,A,AWOU5IMX
12050.820000000012,9847.299999999994,1661.3166666666666,1,A,AWOU5IMX
934.9100000000001,721.1999999999999,112.36666666666666,1,A,AWOU5IMX
31456.979999999963,24720.100000000035,4083.2166666666667,1,A,AWOU5IMX
17381.239999999983,13594.799999999997,2252.65,1,A,AWOU5IMX
3442.6300000000006,2635.299999999998,449.55,1,A,AWOU5IMX
10912.820000000003,8498.200000000006,1409.3833333333334,1,A,AWOU5IMX
5061.169999999997,4073.3,660.3166666666667,1,A,AWOU5IMX
4436.370000000001,3556.400000000001,563.8166666666667,1,A,AWOU5IMX
2635.4800000000005,1892.6000000000006,311.3666666666667,1,A,AWOU5IMX
36960.79999999996,29380.000000000004,4899.35,1,A,AWOU5IMX
7450.749999999998,5726.100000000002,946.8666666666667,1,A,AWOU5IMX
4046.130000000001,3004.499999999999,489.3333333333333,1,A,AWOU5IMX
8812.140000000003,6782.599999999996,1141.6333333333334,1,A,AWOU5IMX
8146.220000000004,6377.299999999994,1036.4166666666667,1,A,AWOU5IMX
8497.269999999999,6500.700000000003,1054.2833333333333,1,A,AWOU5IMX
36558.64000000003,28980.09999999999,4813.666666666667,1,A,AWOU5IMX
5660.140000000001,4534.100000000001,734.7833333333333,1,A,AWOU5IMX
12679.850000000002,9757.399999999992,1614.3333333333333,1,A,AWOU5IMX
11151.839999999995,4654.299999999994,796.4333333333333,1,B,6VABNMFW
36322.06000000001,14069.699999999997,2413.2833333333333,1,B,6VABNMFW
20416.800000000003,7453.300000000002,1255.9333333333334,1,B,6VABNMFW
30895.389999999967,11866.799999999988,1998.0166666666667,0,B,6VABNMFW
3097.820000000001,1009.3,181.56666666666666,1,B,6VABNMFW
11659.39,4213.500000000002,712.9166666666666,1,B,6VABNMFW
10355.650000000003,3790.099999999998,638.4333333333333,1,B,6VABNMFW
6898.1799999999985,2633.7000000000003,483.68333333333334,0,B,6VABNMFW
3153.1399999999994,1283.1999999999998,215.58333333333334,1,B,6VABNMFW
14716.420000000007,5957.700000000001,998.8333333333334,1,B,6VABNMFW
5307.820000000001,1948.5000000000007,334.06666666666666,1,B,6VABNMFW
9682.309999999996,3794.4000000000005,653.1333333333333,1,B,6VABNMFW
29338.309999999976,10853.399999999994,1885.05,1,B,6VABNMFW
15204.179999999995,5669.4,1033.4333333333334,1,B,6VABNMFW
55379.48000000002,20925.500000000022,3556.8166666666666,1,B,6VABNMFW
11031.240000000009,4571.399999999996,770.1166666666667,1,B,6VABNMFW
5867.110000000002,2197.3999999999996,371.6,1,B,6VABNMFW
34983.11000000001,13384.300000000003,2301.7833333333333,1,B,6VABNMFW
49841.330000000075,19494.79999999998,3304.266666666667,1,B,6VABNMFW
15194.910000000002,5647.799999999998,962.4166666666666,1,B,6VABNMFW
3673.1499999999987,1388.9000000000008,236.51666666666668,1,B,7PML7DX0
9704.78,3931.1000000000004,658.0166666666667,1,B,7PML7DX0
84216.21000000012,32188.00000000003,5511.666666666667,0,B,7PML7DX0
17936.320000000003,6956.100000000001,1261.3,1,B,7PML7DX0
12077.65999999999,4707.900000000005,793.2666666666667,0,B,7PML7DX0
3299.4300000000003,1221.6999999999998,220.01666666666668,1,B,7PML7DX0
9674.270000000008,3761.700000000001,624.5666666666667,1,B,7PML7DX0
22017.369999999988,8269.999999999996,1411.8333333333333,1,B,7PML7DX0
12942.619999999988,5082.199999999999,849.5666666666667,1,B,7PML7DX0
27836.890000000018,10823.900000000009,1859.5833333333333,1,B,7PML7DX0
4653.340000000002,1773.7000000000005,351.5,1,B,7PML7DX0
18935.99999999999,6824.699999999992,1158.05,1,B,7PML7DX0
140427.13,53704.40000000002,9197.866666666667,1,B,7PML7DX0
14807.439999999982,11528.400000000001,1913.3833333333334,1,A,WVSI44XE
12302.66,9488.599999999993,1579.9,1,A,WVSI44XE
5250.799999999999,3870.399999999998,647.6333333333333,1,A,WVSI44XE
9028.459999999997,6690.800000000001,1112.6833333333334,1,A,WVSI44XE
2106.060000000001,1771.4999999999995,287.56666666666666,1,A,WVSI44XE
6728.610000000003,5208.399999999999,863.05,0,A,WVSI44XE
10867.669999999996,8561.599999999993,1424.6666666666667,1,A,WVSI44XE
6667.439999999995,5140.9000000000015,849.65,0,A,WVSI44XE
8661.240000000002,6359.399999999999,1066.2666666666667,1,A,WVSI44XE
4718.640000000002,3815.0000000000023,630.4833333333333,1,A,WVSI44XE
8603.349999999997,6556.400000000004,1082.6833333333334,1,A,WVSI44XE
3246.719999999999,2393.5,394.6333333333333,1,A,WVSI44XE
4681.800000000003,3596.2000000000007,605.4666666666667,1,A,WVSI44XE
5392.249999999998,4531.699999999998,725.3166666666667,1,A,WVSI44XE
9337.689999999995,7091.100000000004,1179.15,1,A,WVSI44XE
1966.6199999999997,1481.8999999999999,245.18333333333334,1,A,WVSI44XE
947.5300000000002,680.5999999999999,111.05,1,A,WVSI44XE
1123.2099999999996,935.7,153.31666666666666,1,A,WVSI44XE
6474.969999999997,5302.399999999998,859.0333333333333,1,A,WVSI44XE
